||option||type||description||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--threads||int||||
||--nodes||str||||
||--output||str||||
||--align||str||The name of an 'aligner' to use prior to comparing the images||
||--aligncmp||str||Name of the aligner along with its construction arguments||
||--ralign||str||The name and parameters of the second stage aligner which refines the results of the first alignment||
||--raligncmp||str||The name and parameters of the comparitor used by the second stage aligner. Default is dot.||
||--cmp||str||The name of a 'cmp' to be used in comparing the aligned images||
||--cmpdiff|| ||Compare using the difference of the two children||
||--incomplete||int||The degree of incomplete allowed in the tree on each level||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--parallel|| ||parallelism argument||
||--verbose, -v||int||verbose level [0-9], higher number means higher level of verboseness||
