||option||type||description||
||-h, --help|| ||show this help message and exit||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--nenrich||int||Number of additional particles to average with each particle. Default=5||
||--redoinvar|| ||Recomputes invariants||
||--threads||int||Number of alignment threads to run in parallel on a single computer.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
