||option||type||description||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--invert|| ||Invert contrast||
||--compressbits||int||Bits to keep when writing images with compression. 0->lossless floating point. Default 6||
||--edgenorm|| ||Edge normalize||
||--usefoldername|| ||If you have the same image filename in multiple folders, and need to import into the same project, this will prepend the folder name on each image name||
||--xraypixel|| ||Filter X-ray pixels||
||--ctfest|| ||Perform CTF fitting on the (tiled) frame||
||--phaseplate|| ||Include phase/amplitude contrast in CTF estimation. For use with hole-less phase plates.||
||--astigmatism|| ||Includes astigmatism in automatic fitting||
||--moverawdata|| ||Move raw data to directory ./raw_micrographs after filtration||
||--apix||float||Angstroms per pixel for all images||
||--voltage||float||Microscope voltage in KV||
||--cs||float||Microscope Cs (spherical aberation)||
||--ac||float||Amplitude contrast (percentage, default=10)||
||--threads||int||Number of threads to run in parallel on a single computer when multi-computer parallelism isn't useful||
||--defocusmin||float||Minimum autofit defocus||
||--defocusmax||float||Maximum autofit defocus||
||--verbose, -v||int||verbosity [0-9]||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
