||option||type||description||
||-h, --help|| ||show this help message and exit||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--scale, -S||float||Scale factor||
||--scale, -S||float||Scale factor||
||--pingpong|| ||Cycle through the sequence forwards then backwards||
||--contrast, -C||float||Relative setting. Try 0.75 if images too bright. Default 1.0 ||
||--contrast, -C||float||Relative setting. Try 0.75 if images too bright. Default 1.0 ||
||--last, -M||int||Number of last image to use||
||--last, -M||int||Number of last image to use||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higher number means higher level of verboseness||
||--verbose, -v||int||verbose level [0-9], higher number means higher level of verboseness||
