 count, option , default , type , help 
169, ['--ppid'] ,-1, int ," Set the PID of the parent process, used for cross platform PPID "
140," ['--verbose', '-v'] ",0, int ," verbose level [0-9], higher number means higher level of verboseness "
60, ['--path'] , None , str , Path to a folder where results should be stored. Creates a new folder if none specified (default = m2d_XX) 
55, ['--sym'] , c1 , str ," model symmetry (using sym, if present, speeds thing up a lot), default='c1' "
55, ['--threads'] ,4, int , Number of alignment threads to run in parallel on a single computer 
49, ['--parallel'] , None , None , parallelism argument 
42, ['--mask'] ,-2, int , Mask radius 
41, ['--apix'] ,-1, float , Angstroms per pixel for all images 
31, ['--input'] , None , str , The name of the input particle stack 
31, ['--iter'] ,0, int , Iteration number within path. Default = start a new iteration 
30, ['--shrink'] ,0, int ," Shrink the images by an integer, uses math.meanshrink "
28, ['--output'] , None , str , The name of the output class stack 
18, ['--maxres'] ,0, float , The highest resolution to be fitted (Angstroms) 
17, ['--align'] , rotate_translate_tree , str , This is the aligner used to align particles to the previous class average. Default is None. 
17, ['--keep'] ,1, float , The fraction of particles to keep in each class. 
16, ['--debug'] , False , None , debug mode 
16, ['--preprocess'] , None , str , preprocess maps before alignment 
16, ['--ref'] , None , str , A reference image to be used in conjunction with --cmp and --multicmp 
15, ['--compressbits'] ,6, int , Bits to keep when writing images with compression. 0->lossless floating point. Default 6 
14, ['--clip'] , None , str ," Specify the output size in pixels xsize,ysize[,xcenter,ycenter], images can be made larger or smaller. "
14, ['--invert'] , False , None , If writing outputt inverts pixel intensities 
14, ['--normproc'] , normalize.edgemean , str , Normalization processor applied to particles before alignment. Default is normalize.edgemean. If you want to turn this option off specify 'None' 
13, ['--cmp'] , ccc , str ," The comparitor used to generate quality scores for the purpose of particle exclusion in classes, strongly linked to the keep argument. "
13, ['--cs'] ,-1, float , Microscope Cs (spherical aberation) 
13, ['--lowpass'] ,1.11, float , Multiply lowpass filter frequency by this constant when filtering noise image. Default is 1.11. 
13, ['--maxshift'] ,2, int , Maximun amount to shift the images during alignment 
13, ['--voltage'] ,-1, float , Microscope voltage in KV 
12, ['--aligncmp'] , ccc , str , The comparitor used for the --align aligner. Default is dot. 
12, ['--boxsize'] ,-1, int , Box size in pixels 
12, ['--breaksym'] , False , None ," If selected, reconstruction will be asymmetric with sym= specifying a known pseudosymmetry, not an imposed symmetry. "
12, ['--gui'] , False , None , If set will open an interactive plot with the results 
